5105;Garlean Steel Plate;Garleische Leichtmetall-Platte;Plaque d'acier léger impérial;帝国製軽金属板
5106;Copper Ore;Kupfererz;Minerai de cuivre;銅鉱
5107;Tin Ore;Zinnstein;Minerai d'étain;錫鉱
5108;Yellow Copper Ore;Kupferkies;Minerai de cuivre jaune;黄銅鉱
5109;Pyrite;Schwefelkies;Minerai de pyrite;黄鉄鉱
5110;Zinc Ore;Zinksulfiterz;Minerai de zinc;亜鉛鉱
5111;Iron Ore;Eisenerz;Minerai de fer;鉄鉱
36102;Subtle Cinnamon Sticks;Hochwertiger Zimt;Bâtons de cannelle de premier choix;高級シナモン
36103;Glass Scallop;Hochwertige Kammmuschel;Coquille Saint-Jacques de premier choix;高級帆立
36104;Grade 5 Tincture of Strength;Visionsremedium der Stärke V;Philtre chimérique de force V;剛力の幻薬G5
36105;Grade 5 Tincture of Dexterity;Visionsremedium der Geschicklichkeit V;Philtre chimérique de dextérité V;眼力の幻薬G5
36106;Grade 5 Tincture of Vitality;Visionsremedium der Konstitution V;Philtre chimérique de vitalité V;活力の幻薬G5
36107;Grade 5 Tincture of Intelligence;Visionsremedium der Intelligenz V;Philtre chimérique d'intelligence V;知力の幻薬G5
36108;Grade 5 Tincture of Mind;Visionsremedium der Willenskraft V;Philtre chimérique d'esprit V;心力の幻薬G5
36109;Grade 6 Tincture of Strength;Visionsremedium der Stärke VI;Philtre chimérique de force VI;剛力の幻薬G6
36110;Grade 6 Tincture of Dexterity;Visionsremedium der Geschicklichkeit VI;Philtre chimérique de dextérité VI;眼力の幻薬G6
2667;Dented Celata;Verbeulte Sturmhaube;Celata rouillée;オールドチェラータ
2668;Brass Spectacles;Messingbrille;Lunettes en laiton;ブラススペクタクルズ
2669;Hard Leather Eyepatch;Juchleder-Augenklappe;Cache-œil en cuir rigide;ハードレザー・アイパッチ
2670;Cotton Scarf;Baumwollschal;Foulard en coton;コットンスカーフ
2672;Hard Leather Skullcap;Juchleder-Schädelkappe;Chape;スカルキャップ
2673;Bronze Celata;Sturmhaube;Celata;チェラータ
2675;Ash Mask;Eschenmaske;Masque en frêne;アッシュマスク
2677;Hunting Hat;Jägerhut;Chapeau de chasse;ハンティングハット
2679;Plundered Cavalier's Hat;Geplünderter Hut;Chapeau pillé;プランダードキャバリエハット
2680;Decorated Bronze Barbut;Prunkvolle Kupfer-Barbuta;Barbute ornée;バルビュートDX
2682;Pirate's Bandana;Geplündertes Bandana;Bandana de pirate;パイレーツバンダナ
2683;Plundered Goggles;Geplünderte Schutzbrille;Lunettes pillées;プランダードゴーグル
2684;Plundered Celata;Geplünderte Sturmhaube;Celata pillée;プランダードチェラータ
2685;Brass Circlet (Sunstone);Sonnenstein-Messingstirnreif;Diadème en laiton (pierre de soleil);ブラスサークレット(サンストーン)
2687;Brass Circlet (Danburite);Danburit-Messingstirnreif;Diadème en laiton (danburite);ブラスサークレット(ダンビュライト)
2689;Brass Circlet (Malachite);Malachit-Messingstirnreif;Diadème en laiton (malachite);ブラスサークレット(マラカイト)
12932;Raziqcoat;Raziq-Härtungskatalysator;Fard de Raziq;アブダルラジクの硬化触媒
12933;Dryad Sap;Dryadensaft;Sève de dryade;霊木樹液塊
12934;Moonbeam Silk;Mond-Seidengarn;Fil de soie du clair de lune;閃糸
